,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-002226,0.8142868447,1.3063921255,0.6321583978,1.5539186732,0.9296000168,1.2598246983,0.9296000168,1.1243708838,0.9643675422,1.1578769955,1.1075040695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002304,0.8630972319,1.6250487519,0.8379249862,1.5714659362,1.1384792523,0.835034668,1.1081237471,0.9211519098,0.844114142,0.7727035869,1.4484139732,,,,,,,,,,,,,,,,,,,,,,,-0.17395203142290644,-0.1874421226843046,0.11009552656605656,-0.11093302383154224,-0.08267909247530775,-0.14555347326286427,-0.26831472157768244,0.08440049946005108,-1.4628852875366904,-0.4589188015234007,-0.027787173584276806
ACH-001329,1.0588021284,0.5256462046,1.0014184911,1.4302982367,1.0400861274,1.044941372,1.0400861274,1.0235886107,1.0176496747,1.0305532124,1.0566525019,,,,,,,,,,,,7.1415633585,6.9108357242,8.0129005729,10.7634069579,10.514323621,11.3856473198,7.762320441,8.5735795099,6.8286996306,5.953418613,9.4029069489,-0.040302461493160496,0.004494994899729222,0.14061610477923603,-0.06302834151035264,-0.053017902269777956,0.02226695680186984,-0.1955699377247953,0.08751746934647003,-0.3468922242777484,-0.26815630774108784,-0.050760451548967564
ACH-002231,1.006938101,1.1196043521,1.1527023265,1.4377840456,0.8381004078,1.1335146208,0.8381004078,0.8672903726,1.0807883284,1.1483966284,0.8789798512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002224,0.9816944744,1.0530799718,0.9612516003,1.9564144154,0.9806777154,0.9923926808,0.9806777154,0.971213917,1.3852266034,0.9474363963,0.9887488385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000469,1.315943912,1.2129373205,1.0484891993,1.6205168256,1.0082448244,0.9775043312,1.0082448244,0.5784595562,1.0620745231,1.0145563523,1.0237447121,,,,,,,,,,,,7.0479840941,6.0069900644,9.2838319138,9.3517507661,10.3773945657,11.9324412697,7.915695326,9.0276907334,5.515235243,6.3728179799,8.7910208657,-0.05206902076675121,-0.040381907301782975,0.2333517819259254,-0.04171381433917909,-0.1349178232888279,0.032741799106924964,-0.2541957977391076,0.01700503938333474,-0.16227892014691347,-0.972403774831363,0.06831296892352129
ACH-000591,1.2241989196,0.8241815082,0.9598640568,1.5363841653,0.7760061547,1.2358134669,0.7623767354,0.9574585919,1.2385954059,1.0077725043,1.042674608,0.04800804892990001,0.29871948918,0.00883005149857,-0.0907585390156,0.220857330754,0.352192336268,-0.44646802479900005,,0.17428125635400002,-0.0580281243458,0.365590329138,8.7939989877,6.0416926563,8.5633832441,10.2575888607,9.9970267908,11.7016093899,7.2246574952,7.8189865668,7.0975607588,5.4539785095,5.8576513653,0.12506307533245248,0.13018576096931328,0.28908778662986295,-0.5323118927402315,-0.3271666938285317,-0.19055975367568573,-0.18709228288357704,-0.010434445354446509,0.28372543006723694,0.0638373955128545,-0.1520780942531487
ACH-000095,0.9654831594,0.9695001321,0.9731040636,0.9593904608,0.9737646275,1.4884946127,0.9737646275,0.951962072,0.9814719896,0.982801524,0.9727756355,-0.447324014783,-0.0323749229367,0.0814185783069,-0.182710907679,-0.122199239591,0.00853698656653,-0.17005821654300002,0.09981742214130002,-0.136097037408,-0.19649812775699999,0.00816266914413,4.4579268426,5.8997672018,5.8790673982,8.6986401836,8.9730996405,6.9160082232,4.8063786775,5.0433209989,0.563649879,6.3707072227,1.9529700727,-0.15146033964310207,-0.07353084515912336,0.20281826828153648,-1.0754823990917375,-0.10036397769327933,0.0004847949166824888,-0.11119654871245703,0.17004631522520589,0.1036164237945737,-0.2224394941774614,-0.08133861853305335
ACH-001028,1.0206102246,1.0523575796,1.0466999976,1.034360437,0.9461035508,1.0676279647,0.9363702477,1.0409523282,0.933315655,1.074088597,1.0666486233,,,,,,,,,,,,7.745176093,4.9199069076,5.4059579726,10.220713538,9.1660170684,10.7867182747,4.558735073,5.1649436717,1.5343807223,5.6558642221,7.2313577952,0.005443573512001941,0.03898764800148515,0.16282122740074034,0.02441401334896509,-0.2170826133490314,-0.07434237940410686,-0.13414665620310728,-0.09396714070425782,0.023733019013466472,-0.35619637782079056,0.04924573040015071
ACH-000609,1.0048575518,1.142413553,0.9917579759,1.5067290445,0.956573016,0.5150187994,0.956573016,1.0638052043,0.9771053332,0.9681127607,0.953977404,-0.108867136379,-0.0108234381423,0.08714208050439999,0.10972768021500001,0.26601843607700004,0.185698845121,-0.146969349673,,0.255593077744,0.049003109248400005,0.7129621299590001,6.6502379401,7.8819489269,7.9625754612,10.8552197528,10.9083959535,11.7850216303,8.0614314455,8.7581184245,4.8264305197,7.34744564,7.132519951,0.11019911390233546,0.05651967900022985,0.2634427381353687,-0.18537521063992907,-0.14434767423012085,-0.2165598006461959,-0.09640883746960598,0.09306797753551194,-0.4184257166660443,-0.4926109769598468,-0.11406517241174913
