,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-001648,0.5160354204,1.0492991196,1.0337454647,1.0494584145,1.0593938216,1.065918401,1.551657345,1.030578214,1.06192141,1.0449884524,1.038956319,,,,,,,,,,,,7.7081526842,4.7452881921,7.309509644,9.7458812024,9.4207232887,11.4769116472,7.2368063825,7.7159468921,7.9264580769,7.5240106552,5.1730974896,0.07620223071069412,-0.04398036417390148,0.16015992227599005,-1.1705407172812308,-0.18875149623819135,-0.010525626033874034,-0.1626135133004417,0.011211747950264627,-0.27334174035178516,-1.0057794822347617,-0.07887762399859428
ACH-002367,1.0007363933,0.998887425,1.0014913774,1.0002412443,1.0019454747,1.000896641,1.0019454747,1.0010707921,1.0037931457,1.0003313792,1.0030649321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000275,1.0189561729,0.9887604895,0.9974690621,1.0088173549,1.0053563797,1.0049167572,0.9982125865,1.0076698249,1.012480414,0.9927414943,0.9970570771,,,,,,,,,,,,7.8924776176,8.5272236812,8.2975816818,10.9687550751,10.7961101619,11.9100726583,6.7986544334,8.9782016447,7.1216671913,5.7710063338,11.3425034727,,,,,,,,,,,
ACH-002356,1.0041397022,1.0132793752,1.0103596994,0.999074384,0.9944791298,1.0003071114,0.9944791298,1.0017253437,0.9747113844,0.9967682361,0.9913964514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000134,1.0177322077,0.9930443115,1.0056344653,1.0304589258,0.9948259184,0.9993874456,0.9948259184,1.0080498607,0.9992385213,0.9916321834,0.9945818438,,,,,,,,,,,,8.4320790677,8.5466709743,8.6203674874,10.9541629706,10.4364577667,11.7499688063,6.6706521093,8.8198699197,8.4808828886,6.2497048607,11.3103963579,,,,,,,,,,,
ACH-000184,1.0177364403,0.9856579607,0.9968297287,0.9991761875,1.002836909,1.0042281002,0.9968559852,1.0053577734,1.0013844793,1.0007287631,0.9926327779,,,,,,,,,,,,6.9275692597,8.8551156761,8.3848889342,11.2587826178,10.8753495802,11.9791911127,7.3887061749,8.6081060002,7.0367009255,6.273437283,11.1475899027,,,,,,,,,,,
ACH-002372,1.000022181,1.0001310134,1.0003653553,0.9998260352,1.0005310917,0.9981669216,1.0005310917,0.9998461332,1.0002752173,0.9996562581,1.0008106174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002351,1.0140318732,1.0790187989,0.9977836955,1.0015246987,0.9897849426,0.9964622112,0.9897849426,1.0128538394,1.003620608,0.9637841631,0.9901911774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002360,0.9985807495,0.990311982,0.9988652692,0.9996077556,1.0019239455,0.9969651641,1.0019239455,0.9968642768,0.9933527293,0.9989379697,0.9996978335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002344,1.000788419,1.0031365477,1.0001005114,0.9973784938,0.9986139739,0.9996576439,0.9986139739,0.9998793997,1.0026972009,0.9953446033,0.9996285421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002342,1.0182981264,1.070119566,1.0031817446,1.0080868939,0.9962646921,0.9972029114,0.9962646921,0.995760022,1.0111808172,0.9716340811,0.9967661634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-001093,1.0244169294,0.9975084723,1.0059718954,1.012598323,1.0077431663,1.0054992461,1.0013004959,1.0099227892,1.0020183994,0.9981683053,1.0025019202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002382,1.0341123972,1.1239867277,1.018588264,1.0223250666,0.9944874017,1.0091103869,0.5339412815,0.5700158734,1.0136306119,0.9795710211,0.9880945473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002358,1.0014844357,0.9986721193,1.0014879065,0.9995246141,1.0012893912,0.9998288073,1.0012893912,1.0002960177,1.0000998182,1.0000970453,0.9998599941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002357,0.9954915672,1.0169755539,1.0016566061,0.9973833331,0.998776651,1.0007683021,0.998776651,0.9998447471,0.97549136,0.9998024726,0.994524626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002362,1.0003681289,1.001264406,1.0002426309,0.9998392028,1.0006330437,0.9994934378,1.0006330437,1.000050601,1.0000686239,0.9997581209,1.000321672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000540,1.0314457907,0.9922337945,0.9986624281,0.9964470161,1.0009160668,0.9996382426,0.9939932776,1.0047196514,1.0030162643,0.9882103014,0.998711577,,,,,,,,,,,,7.6901885496,8.4048225098,8.4193715235,10.7874170859,10.8402792381,12.1668866527,7.5670723921,9.2585715915,7.5676500515,5.5060751091,11.2951346045,,,,,,,,,,,
ACH-002247,1.0281373439,0.908610574,1.0140515538,1.0116393079,0.9878021405,1.0070797961,0.9878021405,1.0020274285,1.0184505972,0.9715707755,1.0030962198,,,,,,,,,,,,,,,,,,,,,,,0.11339915529966027,0.21718027243810897,0.39550767788750973,-1.2373872747743193,-0.193506807723701,0.17814784856575472,-0.22164668680272992,-0.03536020504546265,-0.3823655563340832,-0.6099906753255111,0.041907160537972256
ACH-000199,1.0255671807,0.9894947789,0.9938231132,1.0678951465,0.9980084944,0.9973653586,0.993012649,0.9950610864,0.9961721616,0.9958683906,0.9983489017,,,,,,,,,,,,8.3147645583,8.7996584458,9.2376128641,10.4245930858,9.881630486,10.6660349735,6.7630796737,9.1379666713,8.0588878818,5.1443081219,11.0717193969,,,,,,,,,,,
